Date,Open,High,Low,Close,Volume
2020-01-01,1000.0,1013.8279973096434,994.2741721864385,1002.9626347460058,4678621
2020-01-02,1009.9342830602247,1019.2880676347531,995.8017127642756,1013.8647507373265,5556766
2020-01-03,1007.1415259027018,1026.3720537913728,997.8291561196038,1004.3659157857073,7227018
2020-01-04,1020.1878063541501,1034.4558222058758,1019.5794645913406,1016.01422373395,6000546
2020-01-05,1051.2633361185656,1057.18162529752,1044.46232696668,1051.2455989017885,7971138
2020-01-06,1046.340198961064,1053.1481337133387,1039.034407752207,1045.4498439020997,9607009
2020-01-07,1041.440460758697,1046.5135815998487,1037.3425447477427,1039.0804106160963,9547900
2020-01-08,1074.3335832030582,1080.6978700760108,1064.7162218057433,1078.0743453116772,8545189
2020-01-09,1090.8232012519643,1100.2478130243073,1083.8945998714073,1096.033546680892,9852545
2020-01-10,1080.580930200537,1081.1052456591317,1069.2396637063944,1081.058584177664,3681206
2020-01-11,1092.3065309322924,1101.3830533226396,1086.460121760567,1100.3761097182203,7643433
2020-01-12,1082.1826474841198,1085.1094843216456,1067.9260375068395,1076.005066743436,1187771
2020-01-13,1072.102554329504,1072.641158384155,1069.9840839202518,1071.0644403246847,1237199
2020-01-14,1077.2907217174504,1079.8648868560674,1054.9341288852258,1073.4295915419236,8290213
2020-01-15,1036.0675406051475,1045.4705131178878,1028.9270893281166,1026.3982505936458,3857281
2020-01-16,1000.3249130755927,1006.0945003867453,982.9596346705562,999.9113753261996,3274316
2020-01-17,989.0755085993634,996.5468982081144,987.1180215112572,988.4734212054889,1751518
2020-01-18,969.0401794899627,973.894268304014,962.7276772985074,976.3731475441647,9227323
2020-01-19,975.13054532161,984.6629851110341,970.4120267492622,978.2061640313857,1513313
2020-01-20,957.421705083047,958.3727341353857,954.3546304227452,952.5188116046827,3332214
2020-01-21,930.3783007264963,937.3690434768005,926.4319528021017,939.0033381827743,6081820
2020-01-22,957.6504569483186,973.6375242512967,952.6435205080587,963.4970743306643,6266662
2020-01-23,953.326161401738,958.5061562663386,947.8569291762286,956.1008062477804,3250397
2020-01-24,954.6136894849678,960.9391865976448,954.3811972132263,953.5326653789043,9291860
2020-01-25,927.4120070324029,932.7038075969031,907.5443345035404,922.9630296916262,9843026
2020-01-26,917.3146655294896,924.3161537084508,901.4676586768028,915.6075118579924,8726360
2020-01-27,919.349683895077,935.942861782215,915.3383436171694,924.3543873919083,8846613
2020-01-28,898.1863722637078,912.8047366435829,897.8450302018148,906.6499209504341,2472542
2020-01-29,904.935309066999,905.3704467276839,903.8491032095839,911.9179868631122,9333648
2020-01-30,894.0645258970136,896.3866126506776,888.5792793428284,891.8792112643918,5473014
2020-01-31,888.8486652146927,896.8866714662479,879.7575871510115,883.8728129090425,1562621
2020-02-01,878.1521428320737,883.7599561927912,875.8919852535436,878.770740630177,4529801
2020-02-02,910.6837839690262,925.8149777435017,895.4882593863332,902.6313387032734,5808163
2020-02-03,910.4379498950777,911.0395654591772,906.8032710821232,911.9090706509511,7284851
2020-02-04,891.1783465002732,901.9706606451666,885.4106764262134,890.5206453562892,2598099
2020-02-05,905.8390307940797,911.7436166753605,901.4621392270587,903.7282605282447,2195885
2020-02-06,883.7212742212625,884.140146363384,869.8116183406419,876.6749090882147,4898190
2020-02-07,887.4128182675834,895.0482367612007,876.535216652178,889.6916948577511,8386133
2020-02-08,852.6320905174447,855.9109344934121,840.1463603632994,850.361101364738,4388445
2020-02-09,829.9830095680771,838.3350689110624,828.1200976093628,825.1279540868412,3742974
2020-02-10,833.2508391883562,838.0577955323672,824.5258837947133,821.2842646904264,9197590
2020-02-11,845.5573971382308,852.6236536090983,831.3188219806498,845.4410699807452,9182535
